,Unnamed: 0,ID,x,y,time,NMEA_lat,latDir,NMEA_lon,lonDir,fix,nSat,hError,altitude,unit,height (datum),unit.1,dgpsAge,checksum,note,typename,sub category,ID.1,energifyn,fjernvarme,geodanmark,kortopslag,samaqua
249,465,188,590721.0541,6136705.029,121213.4,5522.095724,N,1025.884356,E,4,12,0.8,22.411,M,39.413,M,1.4,0013*7A,,new_Downspout Grille,,188,-,-,1034152753,-,-
250,467,190,590737.5648,6136708.926,121302.4,5522.097642,N,1025.900057,E,4,10,1.3,22.362,M,39.413,M,1.4,0013*71,,new_Downspout Grille,,190,-,-,1034152754,-,-
251,468,191,590737.7165,6136706.635,121318,5522.096405,N,1025.900156,E,4,8,1.5,22.437,M,39.413,M,2,0013*79,,new_Downspout Grille,,191,-,-,1034152755,-,-
252,469,192,590754.1869,6136710.515,121355,5522.098314,N,1025.915818,E,4,11,1.2,22.384,M,39.413,M,2,0013*7C,,new_Downspout Grille,,192,-,-,-,-,-
253,471,193,590753.5689,6136708.352,121448.4,5522.097154,N,1025.915191,E,4,13,0.8,23.282,M,39.413,M,1.4,0013*75,,new_Downspout Grille,,193,-,-,-,-,-
254,475,198,590770.889,6136712.163,121604.35,5522.099017,N,1025.931656,E,4,12,0.9,22.358,M,39.413,M,1.4,0013*77,,new_Downspout Grille,,198,-,-,1034152758,-,-
255,476,199,590770.9821,6136709.887,121620.35,5522.097789,N,1025.9317,E,4,11,1.1,22.377,M,39.413,M,1.4,0013*73,,new_Downspout Grille,,199,-,-,1034152759,-,-
256,478,201,590787.6393,6136713.747,121719.5,5522.099685,N,1025.947539,E,4,10,1.3,22.44,M,39.413,M,1.5,0013*73,,new_Downspout Grille,,201,-,-,1034152761,-,-
257,479,202,590787.8376,6136711.476,121743,5522.098458,N,1025.947682,E,4,10,1.4,22.377,M,39.413,M,2,0013*7B,,new_Downspout Grille,,202,-,-,1034152760,-,-
258,462,208,590709.9892,6136714.104,121102.3,5522.100738,N,1025.874061,E,4,12,1,22.383,M,39.413,M,1.3,0013*75,,new_Downspout Grille,,208,-,-,1103669600,-,-
259,439,210,590718.9999,6136725.227,115832.15,5522.106633,N,1025.882805,E,4,15,0.8,23.419,M,39.413,M,1.1,0013*77,,new_Downspout Grille,,210,-,-,1034152750,-,-
260,440,211,590719.303,6136723.004,115845.95,5522.105432,N,1025.883048,E,4,15,0.8,23.464,M,39.413,M,0.9,0013*71,,new_Downspout Grille,,211,-,-,1103669801,-,-
261,442,214,590735.1309,6136726.928,120044.15,5522.107371,N,1025.898103,E,4,14,0.8,23.262,M,39.413,M,1.1,0013*72,,new_Downspout Grille,,214,-,-,-,-,-
262,444,216,590739.7008,6136725.018,120213.9,5522.106292,N,1025.902391,E,4,14,0.8,23.255,M,39.413,M,1.9,0013*77,,new_Downspout Grille,,216,-,-,1034152757,-,-
263,447,219,590753.4856,6136728.551,120440.6,5522.108043,N,1025.915505,E,4,14,0.8,23.376,M,39.413,M,1.6,0013*74,,new_Downspout Grille,,219,-,-,-,-,-
264,448,220,590753.8315,6136726.377,120506.25,5522.106867,N,1025.91579,E,4,14,0.8,23.363,M,39.413,M,1.3,0013*71,,new_Downspout Grille,,220,-,-,1034152756,-,-
265,450,221,590768.2133,6136730.049,120619.15,5522.108687,N,1025.929472,E,4,14,0.8,23.276,M,39.413,M,1.1,0013*71,,new_Downspout Grille,,221,-,-,-,-,-
266,449,222,590768.2119,6136727.744,120546.7,5522.107445,N,1025.929426,E,4,14,0.8,23.385,M,39.413,M,1.7,0013*7F,,new_Downspout Grille,,222,-,-,-,-,-
267,455,228,590785.885,6136731.74,120755.4,5522.109402,N,1025.946229,E,4,13,0.8,22.459,M,39.413,M,1.4,0013*73,,new_Downspout Grille,,228,-,-,1034152763,-,-
268,456,229,590786.1734,6136729.494,120812.05,5522.108189,N,1025.946458,E,4,11,1.2,22.35,M,39.413,M,2,0013*7F,,new_Downspout Grille,,229,-,-,1034152762,-,-
269,437,240,590707.846,6136735.301,115729.2,5522.112186,N,1025.872445,E,4,15,0.8,23.367,M,39.413,M,1.2,0013*7E,,new_Downspout Grille,,240,-,-,1034152749,-,-
270,537,242,590704.4605,6136746.865,124857.8,5522.118457,N,1025.869466,E,4,10,1.3,22.42,M,39.413,M,1.8,0013*7A,,new_Downspout Grille,,242,-,-,1034152747,-,-
271,536,243,590705.6101,6136750.281,124838.85,5522.120285,N,1025.870621,E,4,9,1.2,22.344,M,39.413,M,1.9,0013*72,,new_Downspout Grille,,243,-,-,-,-,-
272,534,245,590704.4875,6136761.926,124802.05,5522.126575,N,1025.869785,E,4,8,1.9,22.277,M,39.413,M,1,0013*77,,new_Downspout Grille,,245,-,-,-,-,-
273,574,252,590793.3525,6136779.708,130601.05,5522.135174,N,1025.95423,E,4,9,1.7,22.3,M,39.413,M,1,0013*72,,new_Downspout Grille,,252,-,-,-,-,-
274,533,259,590702.9987,6136776.706,124733.45,5522.134557,N,1025.868664,E,4,8,1.5,22.322,M,39.413,M,1.5,0013*73,,new_Downspout Grille,,259,-,-,-,-,-
275,531,264,590701.7778,6136790.268,124654.7,5522.14188,N,1025.867772,E,4,8,2.5,22.327,M,39.413,M,0.7,0013*7F,,new_Downspout Grille,,264,-,-,-,-,-
276,530,266,590700.3451,6136805.313,124556.95,5522.150005,N,1025.866709,E,4,8,2,22.264,M,39.413,M,2,0013*7B,,new_Downspout Grille,,266,-,-,-,-,-
