ID,x,latDir,y,lonDir,note,typename,subcategory,date,energifyn,fjernvarme,geodanmark,kortopslag,samaqua
246,587536.7094,N,6139647.531,E,Totalstation,Tree,downtown,18/12/2020,,,,,
247,587538.9198,N,6139643.666,E,Totalstation,Tree,downtown,18/12/2020,,,,,
248,587548.5133,N,6139627.59,E,Totalstation,Tree,downtown,18/12/2020,,,,,
249,587539.3254,N,6139637.157,E,Totalstation,Manhole Cover,downtown,18/12/2020,,,,,
250,587555.5142,N,6139611.313,E,Totalstation,Manhole Cover,downtown,18/12/2020,,,,,
251,587579.3319,N,6139616.884,E,Totalstation,Manhole Cover,downtown,18/12/2020,,,,,
252,587581.005,N,6139611.737,E,Totalstation,Manhole Cover,downtown,18/12/2020,,,,,
253,587550.3565,N,6139620.084,E,Totalstation,Manhole Cover,downtown,18/12/2020,,,,,
254,587559.3715,N,6139609.916,E,Totalstation,Downspout Grille,downtown,18/12/2020,,,,,
255,587568.0242,N,6139612.667,E,Totalstation,Downspout Grille,downtown,18/12/2020,,,,,
256,587574.2465,N,6139624.114,E,Totalstation,Manhole Cover,downtown,18/12/2020,,,,,
257,587545.9769,N,6139606.636,E,Totalstation,Downspout Grille,downtown,18/12/2020,,,,,
258,587539.5097,N,6139604.728,E,Totalstation,Downspout Grille,downtown,18/12/2020,,,,,
259,587533.5669,N,6139602.567,E,Totalstation,Downspout Grille,downtown,18/12/2020,,,,,
260,587523.0219,N,6139613.197,E,Totalstation,Downspout Grille,downtown,18/12/2020,,,,,
261,587514.3788,N,6139628.003,E,Totalstation,Downspout Grille,downtown,18/12/2020,,,,,
262,587535.9958,N,6139647.406,E,Totalstation,Downspout Grille,downtown,18/12/2020,,,,,
263,587543.8189,N,6139655.608,E,Totalstation,Downspout Grille,downtown,18/12/2020,,,,,
264,587550.3642,N,6139643.83,E,Totalstation,Downspout Grille,downtown,18/12/2020,,,,,
265,587548.5104,N,6139604.952,E,Totalstation,Trash Can,downtown,18/12/2020,,,,,
266,587577.8086,N,6139614.573,E,Totalstation,Statue,downtown,18/12/2020,,,,,
267,587579.3178,N,6139621.41,E,Totalstation,Manhole Cover,downtown,18/12/2020,,,,,
268,587579.2462,N,6139622.205,E,Totalstation,Manhole Cover,downtown,18/12/2020,,,,,
269,587576.7876,N,6139626.446,E,Totalstation,Manhole Cover,downtown,18/12/2020,,,,,
270,587544.1889,N,6139653.734,E,Totalstation,Manhole Cover,downtown,18/12/2020,,,,,
271,587513.7843,N,6139624.478,E,Totalstation,Manhole Cover,downtown,18/12/2020,,,,,
