,ID,lat,lon,time,NMEA_lat,latDir,NMEA_lon,lonDir,fix,nSat,hError,altitude,unit,height (datum),unit.1,dgpsAge,checksum,note,typename,sub category,ID,energifyn,fjernvarme,geodanmark,kortopslag,samaqua
164,172,55.36813471,10.4319561,124243.65,5522.088083,N,1025.917366,E,4,11,,22.797,M,39.415,M,1.6,0024*7C,,Light Fixture,,172,-,-,1034152924,-,-
167,175,55.36812044,10.43165425,124346.75,5522.087226,N,1025.899255,E,4,10,,22.796,M,39.415,M,0.8,0024*76,,Light Fixture,,175,-,-,1034152923,-,-
173,183,55.36810763,10.4313532,124611.1,5522.086458,N,1025.881192,E,4,7,,22.862,M,39.415,M,1.1,0024*74,,Light Fixture,,183,-,-,1034152922,-,-
176,186,55.36826862,10.43132743,124853.25,5522.096117,N,1025.879646,E,4,11,,23.043,M,39.415,M,1.3,0024*73,,Light Fixture,,186,-,-,1034152921,-,-
179,189,55.3682828,10.43162935,125013.45,5522.096968,N,1025.897761,E,4,9,,22.925,M,39.415,M,1.5,0024*7F,,Light Fixture,,189,-,-,1034152920,-,-
184,194,55.36829547,10.43193098,125139.65,5522.097728,N,1025.915859,E,4,11,,22.846,M,39.415,M,1.6,0024*71,,Light Fixture,,194,-,-,1034152919,-,-
190,200,55.36830773,10.43223226,125300,5522.098464,N,1025.933936,E,4,9,,22.837,M,39.415,M,2,0024*7F,,Light Fixture,,200,-,-,1034152918,-,-
193,203,55.36832105,10.43253515,125407.65,5522.099263,N,1025.952109,E,4,9,,22.895,M,39.415,M,1.6,0024*78,,Light Fixture,,203,-,-,1034152917,-,-
199,209,55.36843177,10.43130456,125716.65,5522.105906,N,1025.878274,E,4,8,,22.909,M,39.415,M,1.6,0024*76,,Light Fixture,,209,-,-,1034152912,-,-
203,213,55.36844375,10.43160762,125811.35,5522.106625,N,1025.896457,E,4,9,,22.92,M,39.415,M,1.4,0024*75,,Light Fixture,,213,-,-,1034152913,-,-
208,218,55.36845616,10.43190958,125914.85,5522.10737,N,1025.914575,E,4,8,,22.729,M,39.415,M,1.9,0024*7C,,Light Fixture,,218,-,-,1034152914,-,-
214,224,55.36846892,10.43221182,130055.05,5522.108135,N,1025.932709,E,4,10,,22.978,M,39.415,M,1,0024*74,,Light Fixture,,224,-,-,1034152915,-,-
219,230,55.36848197,10.43251441,130202.8,5522.108918,N,1025.950865,E,4,9,,22.917,M,39.415,M,0.8,0024*76,,Light Fixture,,230,-,-,1034152916,-,-
220,232,55.36869472,10.43234767,130319.55,5522.121683,N,1025.94086,E,4,10,,22.776,M,39.415,M,1.5,0024*78,,Light Fixture,,232,-,-,1034152911,-,-
221,233,55.36867523,10.43188487,130358.85,5522.120514,N,1025.913092,E,4,12,,22.879,M,39.415,M,0.9,0024*73,,Light Fixture,,233,-,-,1034152910,-,-
